Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP (current US$),NY.GDP.MKTP.CD,Tunisia,TUN,45780077487.7651,44360754189.9441,42163966272.6296,42685972269.4473,41906113685.9324,42537832456.2651,46686741814.278,..
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,346709790458.563,323585509674.481,381448814653.456,404159690890.846,388531954110.604,337619680138.494,419015018371.887,..
GDP (current US$),NY.GDP.MKTP.CD,Morocco,MAR,110414366621.263,111572673973.999,118540548906.314,127341174715.803,128919944681.869,121348138320.276,142866329198.42,..
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,
