Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,3960.97532992845,3796.16792006345,3569.75572524285,3577.12441191204,3477.88377711232,3497.68141046011,3807.13915027254,..
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,6204.92990145846,5735.06678717842,6734.47515312493,7048.52221139611,6688.78727128797,5741.64312911877,7055.04477598783,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,3139.24365234375,3132.94458007813,3288.50219726563,3492.67333984375,3498.57397460938,3258.12133789063,3795.38012695313,..
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,
