Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Tunisia,TUN,0.967496905252105,1.1180151889713,2.24434508732902,2.59036663650856,1.50342785751032,-8.62113548680713,4.32277635659793,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Africa,ZAF,1.32186223678229,0.664552307858116,1.15794695181735,1.5223293874314,0.303453234515089,-6.34247114828278,4.9130966818804,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Morocco,MAR,4.34458297635238,0.521185509206546,5.05789815663479,3.06564133362987,2.89097476065345,-7.18707958149294,7.9296679419552,..
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,
