Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Population, total",SP.POP.TOTL,South Africa,ZAF,55876504,56422274,56641209,57339635,58087055,58801927,59392255,..
"Population, total",SP.POP.TOTL,Tunisia,TUN,11557779,11685667,11811443,11933041,12049314,12161723,12262946,..
"Population, total",SP.POP.TOTL,Morocco,MAR,34680458,35107264,35528115,35927511,36304408,36688772,37076584,..
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,
