Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Africa,ZAF,63.95,64.747,65.402,65.674,66.175,65.252,62.341,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tunisia,TUN,75.692,75.786,75.845,75.95,75.993,75.292,73.772,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Morocco,MAR,72.92,73.284,73.66,73.986,74.27,73.92,74.042,..
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,
